container: list<string>; size: 1000000; operation: pop_back(); time:813;
container: vector<int>; size: 100000; operation: pop_front(); time:420;
container: vector<int>; size: 200000; operation: pop_front(); time:1594;
container: vector<int>; size: 300000; operation: pop_front(); time:3546;
container: vector<int>; size: 400000; operation: pop_front(); time:6263;
container: vector<int>; size: 500000; operation: pop_front(); time:9735;
container: vector<int>; size: 600000; operation: pop_front(); time:14036;
container: vector<int>; size: 700000; operation: pop_front(); time:19077;
container: vector<int>; size: 800000; operation: pop_front(); time:25029;
container: vector<int>; size: 900000; operation: pop_front(); time:31720;
container: vector<int>; size: 1000000; operation: pop_front(); time:39222;

container: list<int>; size: 100000; operation: pop_front(); time:37;
container: list<int>; size: 200000; operation: pop_front(); time:72;
container: list<int>; size: 300000; operation: pop_front(); time:108;
container: list<int>; size: 400000; operation: pop_front(); time:146;
container: list<int>; size: 500000; operation: pop_front(); time:181;
container: list<int>; size: 600000; operation: pop_front(); time:220;
container: list<int>; size: 700000; operation: pop_front(); time:257;
container: list<int>; size: 800000; operation: pop_front(); time:291;
container: list<int>; size: 900000; operation: pop_front(); time:332;
container: list<int>; size: 1000000; operation: pop_front(); time:368;

